destination,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C“te d'Ivoire,Croatia,Cuba,Cura‡ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R‚union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Romania,5,782,11,,4,0,0,,10,3,,47,791,3,,,12,,0,  1 010,0,,,0,0,133,0,6,,,  20 290,,,0,0,474,0,,,0,0,,0,  2 331,,,6,,0,,1,,  1 563,3,,71,638,,2,90,,,1,1,30,0,,,1,2,,,,147,  1 858,,,2,2,1,  3 156,0,,  5 617,,1,,,1,2,0,0,2,,1,  6 765,5,0,11,  1 080,  1 151,368,9,  1 008,  12 828,6,231,  1 005,0,1,0,36,,,0,  1 180,,0,27,0,1,34,0,0,1,2,0,3,,,,1,,14,,1,2,2,,13,0,,,1,,421,,33,,,2,,,4,,2,,0,,0,6,2,450,630,,1,3,  47 500,,,  8 105,0,,,,,,,0,,5,0,  2 175,0,1,3,,252,86,,5,13,5,  7 304,,28,5,2,,162,93,  8 038,0,2,550,,,,,9,6,  3 383,1,,,1,  13 938,94,  1 052,,  2 713,,,3,,11,13,,,0,,2
Russian Federation,  5 000,231,764,44,8,501,49,1,247,  517 418,0,533,  2 897,  752 975,24,12,464,9,  749 973,464,8,93,5,6,84,506,28,425,2,5,  5 731,436,129,112,328,548,46,,4,90,150,9,104,  55 120,59,1,203,87,570,3,32,108,315,  2 185,9,704,  11 048,  10 426,15,228,10,9,22,237,  1 042,7,102,6,  57 651,267,0,1,2,  2 169,  2 519,4,0,16,11,  441 793,  139 368,311,4,  1 916,3,21,1,2,12,200,129,18,23,14,22,  16 526,45,  5 595,160,  1 975,968,172,5,  3 580,  1 862,17,  1 005,802, 2 512 343,443,3,85,  580 280,119,  87 716,951,7,9,265,4,  69 748,35,83,29,  1 528,46,73,53,5,9,21,63,12,200,1,46,  20 748,259,2,  1 081,109,615,118,5,172,539,1,86,60,30,781,,50,687,52,715,1,25,2,36,272,145,  28 661,229,3,26,  3 652,  288 806,1,  3 838,,46,6,0,2,1,,3,47,15,215,72,,17,12,50,2,  1 798,344,19,58,236,139,  1 368,577,557,115,14,19,468,570,  3 204,  457 775,213,251,0,18,0,4,9,329,  10 046,  182 189,2,572,81, 2 978 097,349,  1 710,213,  4 504,11,118, 1 125 335,9,97,  13 417,0,31,636,464,72
Slovakia,132,61,66,,1,18,,30,77,114,,247,  2 603,18,2,17,10,1,164,649,1,10,0,,16,343,2,54,,,  1 223,3,5,7,7,477,,,3,2,156,,18,642,,,33,,12,,5,4,639,105,,77,  91 100,14,8,110,,5,14,25,121,2,,,31,24,1,,,64,  2 468,,1,,1,59,  3 024,12,,228,3,2,,,4,5,2,2,,3,2,  17 436,29,104,23,49,44,758,3,134,  1 722,13,102,50,157,16,4,53,18,4,54,65,2,3,44,7,79,58,18,7,13,,,14,,,2,7,,82,4,5,64,44,,35,3,3,1,,5,436,1,31,9,1,55,,,224,3,37,,14,3,4,43,17,  4 803,68,0,2,296,74,,  5 364,  2 428,2,1,,,,,1,1,1,26,10,  1 647,6,2,6,,,211,1,8,25,8,535,3,24,6,,1,138,595,169,6,43,511,,1,,,4,83,172,13,,1,9,  10 309,71,  4 690,1,  2 412,,14,44,1,16,  1 620,,,28,12,3
Ukraine,,,,,,,,,,  50 237,,,,  87 393,,,,,  260 728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  10 588,,,,,,,,,,,  68 386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  236 000,,,,  28 384,,  20 189,,,,,,  25 286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  159 013,,, 3 479 484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  31 187,,,,,,,,,,  24 003,,,,,,,,,,,  233 417,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 054,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  68 512,,,,,,,,,,,,,
Denmark,  10 340,261,939,,0,152,,3,  1 120,627,5,  2 591,  1 780,278,14,81,707,35,647,  1 768,10,55,0,285,438,  18 889,71,  3 017,,4,  2 853,57,529,195,558,  3 549,24,,,9,15,,  1 479,  10 878,515,0,  3 004,18,670,1,145,420,751,432,,158,899,354,621,,22,12,129,546,  1 547,74,,220,  1 090,  1 686,  11 159,,25,  3 777,  6 223,0,0,6,613,204,  34 829,  1 682,,  1 454,  15 253,9,0,,231,91,47,100,150,,112,  2 757,  8 794,  8 321,  1 106,  12 574,  22 303,  1 420,,  1 696,  5 066,155,  1 725,  1 143,148,  1 409,1,  1 358,33,51,  2 711,  12 745,44,153,218,21,  5 363,442,54,80,705,7,38,100,0,0,30,146,,926,,15,65,175,,  5 432,188,  1 256,59,,  1 522,  6 554,,751,184,14,  1 118,,,  19 446,18,  11 543,,68,8,66,990,  9 396,  26 451,  1 205,0,68,  8 789,307,0,  6 473,  4 971,324,,,7,,8,19,1,0,249,132,  3 325,18,331,681,,886,239,3,  10 447,  1 639,369,  4 542,  8 060,0,304,29,47,  21 613,  2 513,  2 124,25,  10 771,  2 629,,142,,12,162,887,  33 147,16,,,  1 377,  6 507,324,  17 012,  1 011,  11 214,,221,252,3,606,  9 951,,,153,540,351
Estonia,,,,,,,,,,519,,,,  1 255,,,,,  12 886,,,,,,,,,,,,,,,,,53,,,,,,,,109,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,  1 195,76,,,,,  1 373,847,,,,,,,,,,,,,,,67,,47,,,,,,,,,,,  3 326,,,,493,,  3 745,,,,,,  1 819,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,433,,,,,759,,,  165 022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,310,,,,,,,,,,324,,,,  21 805,,56,,167,,,945,,,,,,,,
Faeroe Islands,3,,3,,,,,,7,,,35,3,,,,,,,7,,,,,3,,,60,,,28,,,,7,24,3,,,,,,3,24,,,3,,,,,7,85,3,,,10,,,,,,,,,,,,10,35,,,,31,21,,,,,,42,28,,3,,,,,,,,,,,,7,609,10,10,7,,3,,10,10,,7,3,,3,,,,,,,,10,3,,50,7,7,,17,,,3,,,,21,,24,,,,,,10,,,,,,14,,7,,,7,,,348,,,,,,17,10,142,270,14,,,7,,,177,88,,,,,,3,,,,,,138,,,,,17,,,,7,2,7,10,,1,,,99,10,3,,191,10,,3,,,3,21,3,,,,,14,,228,7,88,,,,,13,,,,,,
Finland,  2 735,193,707,,2,362,0,1,304,75,0,  1 005,536,87,8,16,  1 414,12,229,473,2,6,0,3,134,612,12,  1 026,,0,  1 164,7,42,233,548,  1 521,8,,0,2,7,,384,  7 362,,,894,3,97,,54,111,173,359,,127,605,3,  1 090,905,6,3,127,160,833,50,9,67,  26 176,  1 576,,0,8,,  2 026,,0,7,449,36,  6 197,961,0,731,0,1,,,66,55,6,19,12,1,40,  1 635,157,  4 140,347,  4 318,  7 502,453,0,741,  1 874,58,  1 201,243,172,938,0,112,36,20,  1 098,514,0,108,150,0,645,79,12,14,389,1,4,32,0,,8,39,0,542,0,3,47,3,0,  1 730,59,963,74,0,  1 188,  1 331,0,186,90,18,  1 450,,,  1 591,6,  1 397,1,22,8,14,425,  1 979,  2 891,372,,13,390,95,,  1 734,  59 355,249,0,1,3,0,3,3,0,0,254,127,86,6,112,155,,121,27,4,  8 450,650,,  1 727,723,30,,3,10,  32 614,955,434,37,  7 062,104,0,54,,1,27,582,  5 379,20,0,2,137,  1 003,82,  4 759,447,  4 273,0,84,89,1,132,  4 695,0,,37,155,65
Iceland,6,40,24,,0,40,,,26,5,1,88,146,7,4,1,0,2,41,106,2,0,1,,12,147,,106,,0,138,1,,4,4,235,42,,0,,,,83,492,0,,157,,1,,5,3,151,36,,5,159,2,2,  2 968,1,2,21,25,28,11,3,3,140,63,330,,2,185,453,,,1,7,20,  1 732,45,0,25,65,,,,33,14,1,20,7,,33,157,,277,110,36,49,82,,32,222,17,88,12,15,53,,2,1,0,657,31,,0,2,,  1 472,112,2,3,29,,1,4,,,,7,,69,,1,25,3,,155,14,1,37,0,96,303,,49,5,0,59,,,  1 004,0,26,,6,0,3,73,  1 434,  10 285,619,0,2,36,13,,207,304,1,,,,,,,,,3,14,318,,13,14,,235,30,1,1,67,,294,165,0,,0,0,  1 883,148,19,4,  1 082,32,,2,,1,3,16,62,1,,,22,214,2,  1 114,21,  1 887,,8,5,,37,489,,,1,7,10
Ireland,217,434,858,,3,699,1,4,477,77,9,  5 264,854,73,38,119,  1 490,28,891,  1 711,4,49,83,9,26,934,115,  3 633,1,24,  1 352,13,69,16,506,  3 677,6,1,36,11,15,,206,  8 199,192,,,0,  1 625,,16,194,737,120,10,326,  6 654,191,75,  1 103,1,2,15,57,777,39,0,55,  3 032,224,5,6,21,  1 305,  12 226,,1,7,83,373,  16 152,734,56,617,2,21,,,182,73,2,42,7,,18,  4 266,55,  7 407,186,648,660,,,319,  7 692,174,772,164,377,704,0,293,46,49,  18 002,194,56,157,640,3,  31 716,147,17,109,  2 586,4,42,392,0,,12,564,,445,0,10,463,0,2,398,57,94,54,,199,  5 797,9,  1 920,24,187,  13 554,,,445,71,  4 536,,24,19,39,184,  7 963,  78 359,  1 977,,50,281,  1 794,,  11 399,  3 688,115,10,3,9,0,4,19,0,,625,32,0,16,286,315,3,  10 076,174,3,774,  6 154,471,  8 479,347,98,388,18,31,  2 441,806,166,30,781,954,5,167,,2,164,146,713,7,1,,218,  2 718,294,  212 532,183,  19 028,,81,134,1,186,926,,1,45,495,  1 816
Isle of Man,,,,,,,,,,,,316,,,,,,,,,,,,,,,,,,,,,,,,176,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,  38 692,,235,,,,,,,,,,,
Latvia,28,8,19,,2,3,0,1,25,  1 009,1,182,156,  2 661,,1,9,1,  59 932,127,,1,,,,7,,41,,,589,,1,0,3,162,2,,,2,,,6,252,,,11,,2,,2,3,7,63,,25,273,16,,316,,,2,1,47,,,1,  3 765,,,,,304,363,,,,1,  1 766,  3 388,,,38,2,,,,1,,,,,,,267,44,112,4,42,13,833,,129,347,2,17,8,  7 720,4,,4,  1 080,,,53,,,7,1,  22 121,15,1,1,5,,2,11,,,,1,,50,,,141,,,13,1,,,,16,147,,16,0,,14,,,210,,39,1,1,,2,9,6,  1 349,57,,1,41,  2 231,,340,  178 930,1,,,,,,,,,3,,7,,2,6,,62,13,,6,15,3,215,44,2,2,,,492,100,22,732,15,,,1,,,3,3,116,781,,,3,  43 674,10,  1 498,2,779,,3,  2 512,,39,12,,,1,,5
Lithuania,25,15,16,,,,,,91,760,,44,78,  1 396,,,3,,  52 013,118,,,,,6,,,79,,,128,,,,,103,,,,,,,2,367,,,25,,4,,6,1,8,21,,18,88,6,,310,,,0,4,28,1,,2,  1 289,3,,,,130,369,,,,,  1 010,  2 777,5,,44,,,,,,,,,,,1,125,50,80,0,31,6,  1 360,,180,310,,39,7,  7 830,2,,6,627,,  9 380,168,,1,1,0,,22,2,1,2,,,6,,,1,,,23,,1,65,,,5,1,,4,,1,117,,9,,0,26,,,242,,50,,3,,5,13,6,  3 533,48,,2,32,  1 075,,39,  90 519,1,,,,,,,,,5,3,,0,1,0,,21,7,,4,19,,671,13,2,,1,,221,56,19,541,14,15,,,,1,,9,155,407,,,1,  19 405,38,  3 185,1,  1 612,,25,  1 720,,15,67,,,0,2,1
Norway,  9 241,454,  1 163,1,7,393,,3,839,204,17,  1 850,  1 359,383,13,26,735,20,706,  1 364,8,18,11,243,442,  13 546,114,  3 740,4,30,  2 135,24,935,342,567,  2 897,398,5,1,7,24,,  6 597,  9 399,  1 119,42,  5 026,4,151,,255,294,  2 854,747,46,126,  1 406,41,  1 766,  23 621,35,15,581,608,758,161,3,  5 049,  2 064,  5 371,848,,41,  6 894,  4 830,1,6,8,  1 057,216,  25 868,  1 592,8,887,266,3,1,,406,170,22,89,31,,98,  2 243,  5 071,  8 504,  1 300,  13 634,  21 475,731,,744,  2 368,151,  1 234,314,675,  1 563,,329,147,87,  2 855,  1 749,9,935,296,26,  10 231,128,463,97,616,4,40,64,,1,18,180,,871,,13,98,317,,  5 097,144,  2 538,84,,751,  7 566,,551,162,36,  1 046,,,,36,  17 938,,54,9,143,  1 214,  13 725,  51 252,  1 148,13,33,  7 379,315,0,  4 565,  14 378,554,4,3,13,,24,3,4,,384,180,  11 970,12,488,613,12,  2 116,195,3,  18 746,  1 212,608,  2 796,  9 112,  2 780,501,40,14,  43 581,  1 953,  1 487,94,  13 623,  2 224,,99,,5,348,893,  10 907,59,,,861,  2 542,255,  17 528,869,  16 706,3,194,315,,654,  13 511,,0,177,483,237
Sweden,  14 420,  1 281,  2 575,,2,716,,9,  2 868,  1 672,,  3 369,  5 829,  2 107,27,70,  6 289,115,  2 049,  1 904,11,78,9,30,  3 762,  56 183,82,  6 005,1,4,  6 652,72,  2 599,494,  1 366,  3 100,351,,,80,54,,  28 378,  25 107,593,,  10 531,7,637,,362,709,  6 277,  2 339,,538,  1 274,86,  2 246,  45 548,104,46,574,  1 992,  3 718,  2 677,35,  10 301,  10 010,  13 822,,,56,  169 521,  7 944,,,12,  3 886,859,  48 158,  1 927,7,  11 381,,45,,,760,339,120,127,135,0,330,  15 339,  4 728,  17 863,  2 198,  62 120,  121 761,  1 950,,  2 339,  7 804,280,  2 963,  2 848,  1 227,  2 424,4,  1 459,559,482,  4 686,  24 116,26,873,  1 364,2,  6 735,238,89,79,  1 384,12,102,130,1,,44,174,,  2 015,1,29,830,745,,  7 391,333,  1 403,90,2,708,  8 700,,  1 011,649,30,  2 997,,,  43 430,37,  10 265,2,263,25,180,  6 738,  9 826,  70 253,  2 936,,74,  10 398,446,,  19 741,  15 511,397,,0,30,,14,26,5,10,  1 658,534,  17 186,63,687,772,,  1 213,983,4,  37 846,  2 023,968,  6 763,  6 722,  3 444,798,32,25,0,  3 061,  20 758,213,  31 378,  4 752,4,309,,27,293,  4 065,  42 527,215,,0,  3 013,  4 741,742,  20 839,  1 416,  17 179,,  2 247,  2 385,1,865,  14 584,,,605,405,442
United Kingdom of Great Britain and Northern Ireland,  53 091,  14 748,  20 647,,,  12 388,,,  13 764,,,  110 115,  17 697,,  2 950,  5 899,  216 298,  18 680,  2 950,  21 630,,,,,,  1 966,,  43 260,,  3 933,  51 125,,,,  11 208,  79 637,,,,,,  18 680,  7 226,  117 980,  83 570,,  17 697,,  11 208,,,,  5 899,,,  55 058,  31 461,,  20 646,  18 680,,  6 538,,  7 865,  27 529,,,  16 714,  8 849,  15 731,,,  6 882,  10 815,  109 132,,,,  13 764,,  291 019,  82 586,  10 815,  29 495,,  6 882,,,,,,  21 630,,,,  40 310,,  691 337,  14 748,  68 822,  67 839,  398 184,,  14 748,  116 014,  147 476,  37 360,  9 291,  2 950,  125 846,,  11 798,,,  47 192,  14 748,,,  24 579,,  85 536,,,  14 748,  58 990,,,  22 613,,,,  42 276,,  8 849,,,,,  4 916,  21 630,  8 407,  12 388,,,  34 411,  54 074,,  70 788,,,  148 459,,,  13 764,  2 950,  423 747,,,,,,  120 930,  523 047,  81 603,,,  20 647,,,  77 670,  39 327,,,,  9 832,,  5 899,,,,  27 529,,,,  16 714,  41 293,,  44 832,,,  108 149,  232 028,,  66 856,  115 031,  7 865,  18 680,,,  27 529,  16 714,  10 815,,  34 411,,,,,,  22 613,  5 899,  70 788,,,,  49 552,  17 697,  10 815,,  34 411,  196 634,,,,,  7 865,  25 562,,,  16 714,  28 512,  127 993
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,  27 377,,,,,,,,,,,,,,,,,,,,,,,,,,,  12 431,,,,,,,,,,,,410,,,,,,,,,,,,,,,,215,,,327,,,,,,,,,,,,662,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  5 476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,,,,,,,,,,,,  32 856,,,,,,757,,,,,,,,,,,,,,,,  4 486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,697,,,60,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,  4 083,,,,,,334,,,,,,,,,,,,,,,,,92,,,,,,,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473,,,,,,219,,,,,,,,,,,,,,,,377,,  11 652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  22 074,,,,,,45,74,,,,,,,,,,,,,,,,,,958,,85,,104,,,,,,,,,
Bosnia and Herzegovina,,14,,,,,,,6,,,30,140,,,,,,7,9,,,,,,,,6,,,63,,,,,20,,,,,,,8,21,,,,,,,,,  8 537,,,,57,,,3,,,,,,,,,,,,,,,116,,,,,,371,,,46,,,,,,,,,,,,107,,,,,9,,,,78,,,5,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,  2 939,,,,,,,,17,,3,,,,,,,,,,,,,3,,43,,,,,9,,272,119,,,,,,,,,,,,  6 830,,,,,  2 265,  1 311,,,3,,,,,,,,24,44,5,,,  2 058,,,,,,,9,,,,,66,,11,,51,,,,,,,,,,2,
Croatia,,,,,,,,,214,,,  1 045,  1 906,,,,,,,289,,,,,,  471 196,,184,,,,,,,,713,,,,,,,184,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,  1 252,,,,,,  7 754,,,,,,,,,,,,,,,  2 509,,,,,,,,,  3 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  37 160,,,,,,,,350,,123,,,,,,,,,,,,,80,,987,,,,,,,,,,,,,,,,,,,,  111 479,,,,,,  45 101,,,,,,,,,,,422,700,,,,  19 523,,,,,,,,,,,,,,274,,  1 787,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  1 273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 388,,,,,,,,,,,,,,,,,,,,,,,,,  4 148,,,,,,,,,,,,,
Greece,299,  555 375,438,7,13,0,4,0,551,  7 516,84,999,574,129,2,2,  16 300,0,885,434,4,17,3,0,17,852,0,111,0,,  54 092,4,28,0,243,  1 235,37,2,31,7,17,3,296,  4 265,59,,380,0,333,0,17,19,445,444,18,  11 107,  1 249,4,47,295,0,77,673,112,  10 653,51,4,174,28,  2 281,0,,21,350,  1 429,3,35,0,47,  36 628,  10 741,  1 015,25,,18,0,41,3,4,17,0,19,7,0,32,901,0,  8 906,234,  3 222,  7 443,306,38,394,  3 254,2,  1 125,280,  2 589,545,,0,149,0,161,  2 655,0,9,237,0,358,693,47,,4,51,4,19,9,0,19,51,,672,,  23 110,0,516,2,  1 049,2,21,11,,49,  3 609,,93,45,107,  3 802,,28,11,0,  23 718,0,37,2,82,243,  5 652,  11 367,4,38,0,314,  6 071,10,  37 290,  15 731,28,53,0,,21,2,2,4,7,37,174,  8 082,30,198,49,5,285,462,0,13,  2 824,301,17,  1 730,289,249,2,  1 462,  2 632,56,  7 246,0,377,  3 275,2,4,0,,7,  1 312,  6 267,30,,0,116,  13 694,0,  8 159,221,  1 332,28,47,  2 052,2,224,39,41,2,26,32,63
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,  3 330,  482 030,  20 450,,74,  1 527,,36,  70 267,838,,  17 720,  10 246,532,78,39,  66 137,43,  21 972,  41 070,20,  1 971,,29,  12 272,  8 268,57,  72 644,,25,  44 617,  8 799,675,  1 114,  8 176,  22 687,  5 254,,,171,213,,  10 876,  92 384,,,  32 313,21,  2 715,,  1 217,  18 948,  17 880,  26 542,,594,  7 585,148,  4 531,  3 174,88,230,  33 011,  101 893,  81 404,  8 935,98,  10 990,  1 143,  26 223,,,45,  2 614,  121 809,,,272,835,  7 094,  209 035,  41 561,,  17 394,,18,,,  1 632,  2 615,458,68,576,122,  1 622,  10 121,416,  115 829,  1 812,  10 902,  2 780,  3 256,,  3 805,,316,  7 863,  2 864,  2 841,  2 697,2,488,855,211,  2 427,  5 858,23,  1 925,  32 043,148,  4 510,  4 233,  1 580,147,519,25,  1 019,  1 564,4,,473,  7 980,,  6 290,1,  1 733,196,  3 256,,  355 645,666,263,70,2,  1 268,  11 833,,836,891,423,  35 097,,,  1 638,36,  54 800,15,871,78,  2 079,  93 943,  119 890,  122 437,  5 819,,65,  3 496,  108 284,,  846 826,  67 627,549,,4,19,,30,40,  1 791,67,782,  53 981,  52 007,899,  1 117,500,,  6 846,  3 156,4,  9 943,  5 009,  1 146,  25 601,  60 388,267,944,30,31,  6 005,  172 079,  4 574,152,  7 731,  67 438,23,  3 642,,22,155,  83 113,  17 323,153,,4,741,  149 735,265,  60 045,  1 097,  49 906,,  6 872,  1 992,18,  42 566,  4 142,,,264,714,775
Malta,1,91,45,,1,1,,2,16,23,,  4 659,106,2,2,3,15,4,22,111,7,,,,1,146,1,57,,,433,1,,,3,  1 821,1,,,,3,,10,310,,,9,,9,,1,5,104,1,,45,57,2,7,71,,,,3,534,,37,22,4,53,,,,49,243,,,,1,27,906,15,,62,,,,,2,1,,4,2,,1,32,4,273,26,20,68,267,,17,  1 340,7,33,27,13,40,,19,3,1,26,64,16,7,905,,21,2,,4,34,,,,,,8,3,,1,,7,1,,,176,,9,3,,2,401,,20,,22,107,,,37,1,116,,,,1,17,197,116,22,,,8,39,,421,717,1,,,,,,9,,,23,1,566,3,7,17,,76,38,,16,95,10,67,20,27,9,2,7,157,95,214,,89,83,,,,,20,337,166,1,,,2,173,15,  9 748,4,  1 303,,,16,,4,1,,,9,11,33
Montenegro,,  20 254,,,,,,,,,,,,,,,,,,,,,,,,  10 126,,,,,,,,,,,,,,,,,,,,,,,,,,,  4 598,,,,,,,,,,,,152,,,,,,,,,,,,,,,,79,,,121,,,,,,,,,,,,244,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,  12 152,,,,,,280,,,,,,,,,,,,,,,,  1 659,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,9,50,229,,368,  154 231,0,,  1 304,100,0,  1 188,498,65,3,1,  1 452,7,934,  3 377,3,32,0,4,211,42,17,  132 509,,,  5 113,18,4,2,73,  7 182,  58 763,7,,2,5,,193,  10 326,131,  1 971,637,2,470,,19,129,82,  1 601,67,30,246,74,  1 794,390,0,16,67,441,415,85,217,2,126,31,0,0,,332,  89 619,,0,560,114,  1 057,  26 558,190,2,185,0,7,,,31,  4 444,  28 055,6,4,,14,395,29,  7 710,246,202,42,  1 542,,335,  2 691,26,306,28,860,101,,5,,2,204,73,2,28,29,201,360,  3 876,26,452,48,0,113,44,,,40,9,,262,,,19,77,0,  1 943,  69 321,4,18,,525,  3 910,1,45,14,,264,,,328,5,  1 911,,34,3,53,282,470,962,,,3,127,  19 473,,  22 469,  5 602,19,,,,,,3,0,  17 685,13,  2 053,52,4,53,28,17,92,56,,1,  10 886,2,  15 640,26,,2,14,572,794,  15 975,26,20,269,270,  1 697,75,,0,5,136,294,18,,,28,  45 932,3,  18 146,68,  6 869,,223,869,,  23 862,53,,,4,17,  1 131
